TableName,ColumnName,TableDesc,ColumnDesc,ColumnType
allergies,start,patient allergy data.,the date the allergy was diagnosed.,
allergies,stop,patient allergy data.,"the date the allergy ended, if applicable.",
allergies,patient,patient allergy data.,foreign key to the patient.,
allergies,encounter,patient allergy data.,foreign key to the encounter when the allergy was diagnosed.,
allergies,code,patient allergy data.,allergy code from snomed-ct,
allergies,description,patient allergy data.,description of the allergy,
careplans,id,"patient care plan data, including goals.",primary key. unique identifier of the care plan.,
careplans,start,"patient care plan data, including goals.",the date the care plan was initiated.,
careplans,stop,"patient care plan data, including goals.","the date the care plan ended, if applicable.",
careplans,patient,"patient care plan data, including goals.",foreign key to the patient.,
careplans,encounter,"patient care plan data, including goals.",foreign key to the encounter when the care plan was initiated.,
careplans,code,"patient care plan data, including goals.",code from snomed-ct,
careplans,description,"patient care plan data, including goals.",description of the care plan.,
careplans,reasoncode,"patient care plan data, including goals.",diagnosis code from snomed-ct that this care plan addresses.,
careplans,reasondescription,"patient care plan data, including goals.",description of the reason code.,
conditions,start,patient conditions or diagnoses.,the date the condition was diagnosed.,
conditions,stop,patient conditions or diagnoses.,"the date the condition resolved, if applicable.",
conditions,patient,patient conditions or diagnoses.,foreign key to the patient.,
conditions,encounter,patient conditions or diagnoses.,foreign key to the encounter when the condition was diagnosed.,
conditions,code,patient conditions or diagnoses.,diagnosis code from snomed-ct,
conditions,description,patient conditions or diagnoses.,description of the condition.,
encounters,id,patient encounter data.,primary key. unique identifier of the encounter.,
encounters,start,patient encounter data.,the date and time the encounter started.,
encounters,stop,patient encounter data.,the date and time the encounter concluded.,
encounters,patient,patient encounter data.,foreign key to the patient.,
encounters,provider,patient encounter data.,foreign key to the organization.,
encounters,encounterclass,patient encounter data.,"the class of the encounter, such as ambulatory, emergency, inpatient, wellness, or urgentcare",
encounters,code,patient encounter data.,encounter code from snomed-ct,
encounters,description,patient encounter data.,description of the type of encounter.,
encounters,cost,patient encounter data.,"the base cost of the encounter, not including any line item costs related to medications, immunizations, procedures, or other services.",
encounters,reasoncode,patient encounter data.,"diagnosis code from snomed-ct, only if this encounter targeted a specific condition.",
encounters,reasondescription,patient encounter data.,description of the reason code.,
imaging_studies,id,patient imaging metadata.,primary key. unique identifier of the imaging study.,
imaging_studies,date,patient imaging metadata.,the date the imaging study was conducted.,
imaging_studies,patient,patient imaging metadata.,foreign key to the patient.,
imaging_studies,encounter,patient imaging metadata.,foreign key to the encounter where the imaging study was conducted.,
imaging_studies,body site code,patient imaging metadata.,a snomed body structures code describing what part of the body the images in the series were taken of.,
imaging_studies,body site description,patient imaging metadata.,description of the body site.,
imaging_studies,modality code,patient imaging metadata.,a dicom-dcm code describing the method used to take the images.,
imaging_studies,modality description,patient imaging metadata.,description of the modality.,
imaging_studies,sop code,patient imaging metadata.,a dicom-sop code describing the subject-object pair (sop) that constitutes the image.,
imaging_studies,sop description,patient imaging metadata.,description of the sop code.,
immunizations,date,patient immunization data.,the date the immunization was administered.,
immunizations,patient,patient immunization data.,foreign key to the patient.,
immunizations,encounter,patient immunization data.,foreign key to the encounter where the immunization was administered.,
immunizations,code,patient immunization data.,immunization code from cvx.,
immunizations,description,patient immunization data.,description of the immunization.,
immunizations,cost,patient immunization data.,the line item cost of the immunization.,
medications,start,patient medication data.,the date the medication was prescribed.,
medications,stop,patient medication data.,"the date the prescription ended, if applicable.",
medications,patient,patient medication data.,foreign key to the patient.,
medications,encounter,patient medication data.,foreign key to the encounter where the medication was prescribed.,
medications,code,patient medication data.,medication code from rxnorm.,
medications,description,patient medication data.,description of the medication.,
medications,cost,patient medication data.,the line item cost of the medication.,
medications,reasoncode,patient medication data.,diagnosis code from snomed-ct specifying why this medication was prescribed.,
medications,reasondescription,patient medication data.,description of the reason code.,
observations,date,patient observations including vital signs and lab reports.,the date the observation was performed.,
observations,patient,patient observations including vital signs and lab reports.,foreign key to the patient.,
observations,encounter,patient observations including vital signs and lab reports.,foreign key to the encounter where the observation was performed.,
observations,code,patient observations including vital signs and lab reports.,observation or lab code from loinc,
observations,description,patient observations including vital signs and lab reports.,description of the observation or lab.,
observations,value,patient observations including vital signs and lab reports.,the recorded value of the observation.,
observations,units,patient observations including vital signs and lab reports.,the units of measure for the value.,
observations,type,patient observations including vital signs and lab reports.,the datatype of value text or numeric.,
organizations,id,provider organizations including hospitals.,primary key of the organization.,
organizations,name,provider organizations including hospitals.,name of the organization.,
organizations,address,provider organizations including hospitals.,organization's street address without commas or newlines.,
organizations,city,provider organizations including hospitals.,street address city.,
organizations,state,provider organizations including hospitals.,street address state abbreviation.,
organizations,zip,provider organizations including hospitals.,street address zip or postal code.,
organizations,phone,provider organizations including hospitals.,organization's phone number.,
organizations,utilization,provider organizations including hospitals.,the number of encounter's performed by this organization.,
patients,id,patient demographic data.,primary key. unique identifier of the patient.,
patients,birthdate,patient demographic data.,the date the patient was born.,
patients,deathdate,patient demographic data.,the date the patient died.,
patients,ssn,patient demographic data.,patient social security identifier.,
patients,drivers,patient demographic data.,patient drivers license identifier.,
patients,passport,patient demographic data.,patient passport identifier.,
patients,prefix,patient demographic data.,"name prefix, such as mr., mrs., dr., etc.",
patients,first,patient demographic data.,first name of the patient.,
patients,last,patient demographic data.,last or surname of the patient.,
patients,suffix,patient demographic data.,"name suffix, such as phd, md, jd, etc.",
patients,maiden,patient demographic data.,maiden name of the patient.,
patients,marital,patient demographic data.,"marital status. m is married, s is single. currently no support for divorce (d) or widowing (w)",
patients,race,patient demographic data.,description of the patient's primary race.,
patients,ethnicity,patient demographic data.,description of the patient's primary ethnicity.,
patients,gender,patient demographic data.,"gender. m is male, f is female.",
patients,birthplace,patient demographic data.,name of the town where the patient was born.,
patients,address,patient demographic data.,patient's street address without commas or newlines.,
patients,city,patient demographic data.,patient's address city.,
patients,state,patient demographic data.,patient's address state.,
patients,zip,patient demographic data.,patient's zip code.,
procedures,date,patient procedure data including surgeries.,the date the procedure was performed.,
procedures,patient,patient procedure data including surgeries.,foreign key to the patient.,
procedures,encounter,patient procedure data including surgeries.,foreign key to the encounter where the procedure was performed.,
procedures,code,patient procedure data including surgeries.,procedure code from snomed-ct,
procedures,description,patient procedure data including surgeries.,description of the procedure.,
procedures,cost,patient procedure data including surgeries.,the line item cost of the procedure.,
procedures,reasoncode,patient procedure data including surgeries.,diagnosis code from snomed-ct specifying why this procedure was performed.,
procedures,reasondescription,patient procedure data including surgeries.,description of the reason code.,
providers,id,clinicians that provide patient care.,primary key of the provider/clinician.,
providers,organization,clinicians that provide patient care.,foreign key to the organization that employees this provider.,
providers,name,clinicians that provide patient care.,first and last name of the provider.,
providers,gender,clinicians that provide patient care.,"gender. m is male, f is female.",
providers,speciality,clinicians that provide patient care.,provider speciality.,
providers,address,clinicians that provide patient care.,provider's street address without commas or newlines.,
providers,city,clinicians that provide patient care.,street address city.,
providers,state,clinicians that provide patient care.,street address state abbreviation.,
providers,zip,clinicians that provide patient care.,street address zip or postal code.,
providers,utilization,clinicians that provide patient care.,the number of encounter's performed by this provider.,
